Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.4201613578430373 
    wm_size = [1600 2560] 
    stim_amp = 5 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:33:52.898934 False [    1425.309258] 0003 0036 00000337
2022-04-06 14:33:52.907235 False [    1425.317698] 0003 0035 00000383
2022-04-06 14:33:52.907470 False [    1425.317698] 0003 0036 00000336
2022-04-06 14:33:52.917173 False [    1425.325930] 0003 0036 00000335
2022-04-06 14:33:52.923770 False [    1425.334326] 0003 0036 00000333
2022-04-06 14:33:52.932802 False [    1425.342639] 0003 0036 00000332
2022-04-06 14:33:52.940051 False [    1425.350964] 0003 0036 00000331
2022-04-06 14:33:52.956606 False [    1425.367665] 0003 0036 0000032f
2022-04-06 14:33:52.964948 False [    1425.375877] 0003 0036 0000032e
2022-04-06 14:33:52.974472 False [    1425.384348] 0003 0036 0000032d
2022-04-06 14:33:52.982756 False [    1425.392586] 0003 0036 0000032c
2022-04-06 14:33:53.000956 False [    1425.409345] 0003 0036 0000032a
2022-04-06 14:33:53.006981 False [    1425.417677] 0003 0036 00000329
2022-04-06 14:33:53.015971 False [    1425.425875] 0003 0036 00000328
2022-04-06 14:33:53.032400 False [    1425.442558] 0003 0036 00000327
2022-04-06 14:33:53.047569 False [    1425.459189] 0003 0036 00000326
2022-04-06 14:33:53.057773 False [    1425.467666] 0003 0036 00000325
2022-04-06 14:33:53.066600 False [    1425.475869] 0003 0036 00000324
2022-04-06 14:33:53.074935 False [    1425.484346] 0003 0036 00000323
2022-04-06 14:33:53.082214 False [    1425.492588] 0003 0036 00000322
2022-04-06 14:33:53.091100 False [    1425.500990] 0003 0035 00000382
2022-04-06 14:33:53.091100 False [    1425.500990] 0003 0036 00000321
2022-04-06 14:33:53.101148 False [    1425.509232] 0003 0036 00000320
2022-04-06 14:33:53.108136 False [    1425.517663] 0003 0036 0000031f
2022-04-06 14:33:53.124191 False [    1425.534273] 0003 0036 0000031e
2022-04-06 14:33:53.132682 False [    1425.542536] 0003 0036 0000031d
2022-04-06 14:33:53.147967 False [    1425.559211] 0003 0036 0000031c
2022-04-06 14:33:53.157288 False [    1425.567718] 0003 0036 0000031b
2022-04-06 14:33:53.164967 False [    1425.575902] 0003 0036 0000031a
2022-04-06 14:33:53.185095 False [    1425.592574] 0003 0036 00000319
2022-04-06 14:33:53.190790 False [    1425.601032] 0003 0035 00000381
2022-04-06 14:33:53.190790 False [    1425.601032] 0003 0036 00000318
2022-04-06 14:33:53.199654 False [    1425.609212] 0003 0036 00000317
2022-04-06 14:33:53.207144 False [    1425.617702] 0003 0036 00000315
2022-04-06 14:33:53.223787 False [    1425.634303] 0003 0036 00000314
