Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.23816853657635756 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:59:28.811068 False [  159891.819169] 0003 0035 000004b0
2022-04-02 17:59:28.811068 False [  159891.819169] 0003 0036 00000402
2022-04-02 17:59:28.811068 False [  159891.829081] 0003 0035 000004a6
2022-04-02 17:59:28.811068 False [  159891.829081] 0003 0036 00000413
2022-04-02 17:59:28.811068 True [  159891.840940] 0003 0035 0000049f
2022-04-02 17:59:28.812074 True [  159891.840940] 0003 0036 00000422
2022-04-02 17:59:28.899607 True [  159891.852852] 0003 0035 00000499
2022-04-02 17:59:28.899607 True [  159891.852852] 0003 0036 0000043a
2022-04-02 17:59:28.899607 True [  159891.864804] 0003 0036 00000445
2022-04-02 17:59:28.899607 True [  159891.877266] 0003 0035 0000049a
2022-04-02 17:59:28.899607 True [  159891.877266] 0003 0036 00000453
2022-04-02 17:59:28.899607 True [  159891.887085] 0003 0035 0000049b
2022-04-02 17:59:28.899607 True [  159891.887085] 0003 0036 00000458
2022-04-02 17:59:28.899607 True [  159891.897246] 0003 0035 0000049d
2022-04-02 17:59:28.899607 True [  159891.897246] 0003 0036 0000045e
2022-04-02 17:59:28.899607 True [  159891.910652] 0003 0035 000004a1
2022-04-02 17:59:28.899607 True [  159891.910652] 0003 0036 0000046a
2022-04-02 17:59:28.899607 True [  159891.924140] 0003 0036 0000046f
2022-04-02 17:59:28.899607 True [  159891.937029] 0003 0035 000004a4
2022-04-02 17:59:28.899607 True [  159891.937029] 0003 0036 00000479
2022-04-02 17:59:28.899607 True [  159891.951930] 0003 0035 000004a5
2022-04-02 17:59:28.899607 True [  159891.951930] 0003 0036 0000047e
2022-04-02 17:59:28.966254 True [  159891.965761] 0003 0036 00000488
2022-04-02 17:59:28.966254 True [  159891.980238] 0003 0035 000004a7
2022-04-02 17:59:28.966254 True [  159891.980238] 0003 0036 00000494
2022-04-02 17:59:28.966254 True [  159891.992921] 0003 0035 000004a8
2022-04-02 17:59:28.966254 True [  159891.992921] 0003 0036 000004a4
2022-04-02 17:59:28.966254 True [  159892.005622] 0003 0035 000004aa
2022-04-02 17:59:28.966254 True [  159892.005622] 0003 0036 000004ac
2022-04-02 17:59:28.966254 True [  159892.016952] 0003 0035 000004ac
2022-04-02 17:59:28.966254 True [  159892.016952] 0003 0036 000004bb
2022-04-02 17:59:28.966254 True [  159892.027486] 0003 0035 000004af
2022-04-02 17:59:28.966254 True [  159892.027486] 0003 0036 000004c4
2022-04-02 17:59:28.966254 True [  159892.040308] 0003 0035 000004b1
2022-04-02 17:59:28.966254 True [  159892.040308] 0003 0036 000004cd
2022-04-02 17:59:28.966254 True [  159892.048000] 0003 0035 000004b7
2022-04-02 17:59:28.966254 True [  159892.048000] 0003 0036 000004e4
