Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.6548999561656195 
    wm_size = [1600 2560] 
    stim_amp = 5 
    baseline_stim = 1
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:31:43.712162 True [    1296.123194] 0003 0036 000003ac
2022-04-06 14:31:43.718828 True [    1296.131689] 0003 0035 0000031c
2022-04-06 14:31:43.737973 True [    1296.148325] 0003 0035 0000031a
2022-04-06 14:31:43.737973 True [    1296.148325] 0003 0036 000003ab
2022-04-06 14:31:43.742958 True [    1296.156610] 0003 0035 00000319
2022-04-06 14:31:43.752423 True [    1296.165020] 0003 0035 00000318
2022-04-06 14:31:43.768686 True [    1296.181656] 0003 0035 00000317
2022-04-06 14:31:43.777960 True [    1296.189947] 0003 0035 00000316
2022-04-06 14:31:43.786408 True [    1296.198359] 0003 0035 00000315
2022-04-06 14:31:43.801148 True [    1296.214991] 0003 0035 00000314
2022-04-06 14:31:43.811096 True [    1296.223234] 0003 0035 00000312
2022-04-06 14:31:43.820040 True [    1296.231671] 0003 0035 00000311
2022-04-06 14:31:43.836348 True [    1296.248299] 0003 0035 00000310
2022-04-06 14:31:43.845160 True [    1296.256575] 0003 0035 0000030e
2022-04-06 14:31:43.862561 True [    1296.273234] 0003 0035 0000030d
2022-04-06 14:31:43.869260 True [    1296.281789] 0003 0035 0000030c
2022-04-06 14:31:43.878222 True [    1296.289917] 0003 0035 0000030b
2022-04-06 14:31:43.885565 True [    1296.298335] 0003 0035 0000030a
2022-04-06 14:31:43.911543 True [    1296.323218] 0003 0035 00000309
2022-04-06 14:31:43.918808 True [    1296.331660] 0003 0035 00000308
2022-04-06 14:31:43.927642 True [    1296.339899] 0003 0035 00000307
2022-04-06 14:31:43.935487 True [    1296.348316] 0003 0035 00000306
2022-04-06 14:31:43.952951 True [    1296.365066] 0003 0035 00000305
2022-04-06 14:31:43.961300 True [    1296.373266] 0003 0035 00000304
2022-04-06 14:31:43.967828 True [    1296.381669] 0003 0035 00000303
2022-04-06 14:31:43.993838 True [    1296.406536] 0003 0035 00000301
2022-04-06 14:31:44.004523 True [    1296.415003] 0003 0035 00000300
2022-04-06 14:31:44.011678 True [    1296.423272] 0003 0035 000002ff
2022-04-06 14:31:44.028598 True [    1296.439936] 0003 0035 000002fe
