Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.8850851337739059 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 14:01:33.942980 False [  145607.847278] 0003 0035 000001c5
2022-04-02 14:01:33.942980 False [  145607.847278] 0003 0036 0000027a
2022-04-02 14:01:33.952969 False [  145607.855459] 0003 0036 0000027b
2022-04-02 14:01:33.962368 False [  145607.863926] 0003 0035 000001c6
2022-04-02 14:01:33.962368 False [  145607.863926] 0003 0036 0000027d
2022-04-02 14:01:33.970965 False [  145607.872105] 0003 0035 000001c7
2022-04-02 14:01:33.970965 False [  145607.872105] 0003 0036 0000027f
2022-04-02 14:01:33.979589 False [  145607.880780] 0003 0036 00000281
2022-04-02 14:01:33.985691 False [  145607.888738] 0003 0035 000001c8
2022-04-02 14:01:33.985691 False [  145607.888738] 0003 0036 00000282
2022-04-02 14:01:33.993239 False [  145607.897219] 0003 0035 000001c9
2022-04-02 14:01:33.993239 False [  145607.897219] 0003 0036 00000284
2022-04-02 14:01:34.003009 False [  145607.905289] 0003 0036 00000287
2022-04-02 14:01:34.010385 False [  145607.913748] 0003 0035 000001ca
2022-04-02 14:01:34.010385 False [  145607.913748] 0003 0036 00000288
2022-04-02 14:01:34.017534 False [  145607.921910] 0003 0036 0000028b
2022-04-02 14:01:34.026951 False [  145607.931164] 0003 0035 000001cb
2022-04-02 14:01:34.026951 False [  145607.931164] 0003 0036 0000028c
2022-04-02 14:01:34.035664 False [  145607.938532] 0003 0035 000001cc
2022-04-02 14:01:34.035664 False [  145607.938532] 0003 0036 0000028e
2022-04-02 14:01:34.050918 False [  145607.946944] 0003 0036 00000290
2022-04-02 14:01:34.053979 False [  145607.955098] 0003 0036 00000292
2022-04-02 14:01:34.066955 False [  145607.963833] 0003 0036 00000294
2022-04-02 14:01:34.070130 False [  145607.971856] 0003 0035 000001cd
2022-04-02 14:01:34.070130 False [  145607.971856] 0003 0036 00000296
2022-04-02 14:01:34.075969 False [  145607.980432] 0003 0035 000001ce
2022-04-02 14:01:34.075969 False [  145607.980432] 0003 0036 00000299
2022-04-02 14:01:34.082918 False [  145607.988555] 0003 0035 000001cf
2022-04-02 14:01:34.082918 False [  145607.988555] 0003 0036 0000029a
2022-04-02 14:01:34.092963 False [  145607.996867] 0003 0035 000001d0
2022-04-02 14:01:34.092963 False [  145607.996867] 0003 0036 0000029d
2022-04-02 14:01:34.101024 False [  145608.004994] 0003 0036 0000029e
2022-04-02 14:01:34.111200 False [  145608.013462] 0003 0036 000002a1
2022-04-02 14:01:34.119571 False [  145608.021755] 0003 0035 000001d1
2022-04-02 14:01:34.119571 False [  145608.021755] 0003 0036 000002a2
2022-04-02 14:01:34.125386 False [  145608.030129] 0003 0035 000001d2
2022-04-02 14:01:34.125386 False [  145608.030129] 0003 0036 000002a5
2022-04-02 14:01:34.133564 False [  145608.038226] 0003 0036 000002a6
2022-04-02 14:01:34.143007 False [  145608.046674] 0003 0036 000002a8
2022-04-02 14:01:34.149689 False [  145608.054840] 0003 0035 000001d3
2022-04-02 14:01:34.149689 False [  145608.054840] 0003 0036 000002aa
2022-04-02 14:01:34.160256 False [  145608.063301] 0003 0036 000002ab
2022-04-02 14:01:34.165934 False [  145608.071421] 0003 0036 000002ae
2022-04-02 14:01:34.182596 False [  145608.081025] 0003 0036 000002af
