Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.035265419261927694 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:40:23.451891 True [  158746.556670] 0003 0036 0000047f
2022-04-02 17:40:23.451891 True [  158746.564486] 0003 0036 0000047e
2022-04-02 17:40:23.451891 True [  158746.574069] 0003 0036 0000047d
2022-04-02 17:40:23.494576 True [  158746.583176] 0003 0036 0000047c
2022-04-02 17:40:23.494576 True [  158746.592633] 0003 0035 00000522
2022-04-02 17:40:23.494576 True [  158746.592633] 0003 0036 0000047a
2022-04-02 17:40:23.494576 True [  158746.600654] 0003 0036 00000479
2022-04-02 17:40:23.503384 True [  158746.613204] 0003 0035 00000524
2022-04-02 17:40:23.503384 True [  158746.613204] 0003 0036 00000475
2022-04-02 17:40:23.503384 True [  158746.622230] 0003 0035 00000525
2022-04-02 17:40:23.503384 True [  158746.622230] 0003 0036 00000471
2022-04-02 17:40:23.503384 True [  158746.630704] 0003 0035 00000527
2022-04-02 17:40:23.503384 True [  158746.630704] 0003 0036 0000046f
2022-04-02 17:40:23.503384 True [  158746.638288] 0003 0035 00000528
2022-04-02 17:40:23.503384 True [  158746.638288] 0003 0036 0000046c
2022-04-02 17:40:23.503384 True [  158746.647427] 0003 0035 00000529
2022-04-02 17:40:23.503384 True [  158746.647427] 0003 0036 00000469
2022-04-02 17:40:23.538651 True [  158746.654501] 0003 0036 00000468
2022-04-02 17:40:23.598692 True [  158746.662838] 0003 0036 00000465
2022-04-02 17:40:23.598692 True [  158746.672775] 0003 0036 00000463
2022-04-02 17:40:23.598692 True [  158746.679749] 0003 0036 00000461
2022-04-02 17:40:23.598692 True [  158746.688441] 0003 0035 00000528
2022-04-02 17:40:23.598692 True [  158746.688441] 0003 0036 0000045f
2022-04-02 17:40:23.598692 True [  158746.696767] 0003 0036 0000045d
2022-04-02 17:40:23.640178 True [  158746.707024] 0003 0035 00000527
2022-04-02 17:40:23.640178 True [  158746.707024] 0003 0036 0000045a
