Mode = area stim
        verts = 22 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.0293531747692906 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 3
        ===============================
2022-04-07 18:39:44.746977 False [   17914.073568] 0003 0036 00000980
2022-04-07 18:39:44.754689 False [   17914.082045] 0003 0035 00000456
2022-04-07 18:39:44.754689 False [   17914.082045] 0003 0036 0000097f
2022-04-07 18:39:44.761594 False [   17914.090421] 0003 0035 00000443
2022-04-07 18:39:44.761594 False [   17914.090421] 0003 0036 0000097e
2022-04-07 18:39:44.772616 False [   17914.099943] 0003 0035 0000042f
2022-04-07 18:39:44.772616 False [   17914.099943] 0003 0036 0000097c
2022-04-07 18:39:44.780193 False [   17914.106917] 0003 0035 0000041c
2022-04-07 18:39:44.780193 False [   17914.106917] 0003 0036 0000097b
2022-04-07 18:39:44.787274 False [   17914.116077] 0003 0035 00000407
2022-04-07 18:39:44.787274 False [   17914.116077] 0003 0036 0000097a
2022-04-07 18:39:44.795645 False [   17914.123507] 0003 0035 000003f2
2022-04-07 18:39:44.795645 False [   17914.123507] 0003 0036 00000978
2022-04-07 18:39:44.805091 False [   17914.133064] 0003 0035 000003dd
2022-04-07 18:39:44.805091 False [   17914.133064] 0003 0036 00000976
2022-04-07 18:39:44.810497 False [   17914.140151] 0003 0035 000003c8
2022-04-07 18:39:44.810497 False [   17914.140151] 0003 0036 00000975
2022-04-07 18:39:44.820591 False [   17914.149998] 0003 0035 000003b2
2022-04-07 18:39:44.820591 False [   17914.149998] 0003 0036 00000973
2022-04-07 18:39:44.828779 False [   17914.156732] 0003 0035 0000039e
2022-04-07 18:39:44.828779 False [   17914.156732] 0003 0036 00000971
2022-04-07 18:39:44.838052 False [   17914.166400] 0003 0035 00000389
2022-04-07 18:39:44.838052 False [   17914.166400] 0003 0036 00000970
2022-04-07 18:39:44.844589 False [   17914.173313] 0003 0035 00000375
2022-04-07 18:39:44.844589 False [   17914.173313] 0003 0036 0000096e
2022-04-07 18:39:44.854189 False [   17914.182763] 0003 0035 00000361
2022-04-07 18:39:44.854189 False [   17914.182763] 0003 0036 0000096d
2022-04-07 18:39:44.860573 False [   17914.189865] 0003 0035 0000034d
2022-04-07 18:39:44.860573 False [   17914.189865] 0003 0036 0000096b
2022-04-07 18:39:44.869019 False [   17914.198429] 0003 0035 0000033a
2022-04-07 18:39:44.869019 False [   17914.198429] 0003 0036 00000969
2022-04-07 18:39:44.879014 False [   17914.206784] 0003 0035 00000328
2022-04-07 18:39:44.879014 False [   17914.206784] 0003 0036 00000968
2022-04-07 18:39:44.885714 False [   17914.215311] 0003 0035 00000318
2022-04-07 18:39:44.885714 False [   17914.215311] 0003 0036 00000967
2022-04-07 18:39:44.896184 False [   17914.223222] 0003 0035 00000306
2022-04-07 18:39:44.896184 False [   17914.223222] 0003 0036 00000965
2022-04-07 18:39:44.904262 False [   17914.232784] 0003 0035 000002f5
2022-04-07 18:39:44.904262 False [   17914.232784] 0003 0036 00000964
2022-04-07 18:39:44.910496 False [   17914.239823] 0003 0035 000002e3
2022-04-07 18:39:44.910496 False [   17914.239823] 0003 0036 00000963
2022-04-07 18:39:44.919275 False [   17914.249548] 0003 0035 000002cf
2022-04-07 18:39:44.919275 False [   17914.249548] 0003 0036 00000961
2022-04-07 18:39:44.929121 False [   17914.256624] 0003 0035 000002bc
2022-04-07 18:39:44.929121 False [   17914.256624] 0003 0036 00000960
2022-04-07 18:39:44.937475 False [   17914.266156] 0003 0035 000002a9
2022-04-07 18:39:44.937475 False [   17914.266156] 0003 0036 0000095f
2022-04-07 18:39:44.945357 False [   17914.273488] 0003 0035 00000296
2022-04-07 18:39:44.945357 False [   17914.273488] 0003 0036 0000095e
2022-04-07 18:39:44.957006 False [   17914.283021] 0003 0035 00000281
