Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 3.096564172022006 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:32:03.057052 False [  158246.215194] 0003 0036 000003cd
2022-04-02 17:32:03.065293 False [  158246.223576] 0003 0036 000003d1
2022-04-02 17:32:03.072228 False [  158246.231774] 0003 0035 00000536
2022-04-02 17:32:03.072228 False [  158246.231774] 0003 0036 000003d3
2022-04-02 17:32:03.081249 False [  158246.240167] 0003 0035 00000537
2022-04-02 17:32:03.081249 False [  158246.240167] 0003 0036 000003d6
2022-04-02 17:32:03.089831 False [  158246.248458] 0003 0036 000003d9
2022-04-02 17:32:03.098353 False [  158246.256745] 0003 0035 00000539
2022-04-02 17:32:03.098353 False [  158246.256745] 0003 0036 000003dd
2022-04-02 17:32:03.103150 False [  158246.265020] 0003 0035 0000053b
2022-04-02 17:32:03.103150 False [  158246.265020] 0003 0036 000003e1
2022-04-02 17:32:03.111757 False [  158246.273445] 0003 0035 0000053c
2022-04-02 17:32:03.111757 False [  158246.273445] 0003 0036 000003e4
2022-04-02 17:32:03.121229 False [  158246.281666] 0003 0035 0000053d
2022-04-02 17:32:03.121229 False [  158246.281666] 0003 0036 000003e7
2022-04-02 17:32:03.128852 False [  158246.290094] 0003 0035 0000053e
2022-04-02 17:32:03.128852 False [  158246.290094] 0003 0036 000003eb
2022-04-02 17:32:03.137231 False [  158246.298196] 0003 0035 0000053f
2022-04-02 17:32:03.137231 False [  158246.298196] 0003 0036 000003ee
2022-04-02 17:32:03.145756 False [  158246.306635] 0003 0035 00000540
2022-04-02 17:32:03.145756 False [  158246.306635] 0003 0036 000003f0
2022-04-02 17:32:03.155892 False [  158246.314866] 0003 0035 00000541
2022-04-02 17:32:03.155892 False [  158246.314866] 0003 0036 000003f3
2022-04-02 17:32:03.164765 False [  158246.323231] 0003 0036 000003f4
2022-04-02 17:32:03.171166 False [  158246.331474] 0003 0035 00000542
2022-04-02 17:32:03.171166 False [  158246.331474] 0003 0036 000003f6
2022-04-02 17:32:03.181813 False [  158246.339890] 0003 0036 000003f8
2022-04-02 17:32:03.187696 False [  158246.348079] 0003 0036 000003f9
2022-04-02 17:32:03.199173 False [  158246.356540] 0003 0036 000003fb
2022-04-02 17:32:03.206156 False [  158246.364699] 0003 0035 00000543
2022-04-02 17:32:03.206156 False [  158246.364699] 0003 0036 000003fd
2022-04-02 17:32:03.214305 False [  158246.373107] 0003 0035 00000544
2022-04-02 17:32:03.214305 False [  158246.373107] 0003 0036 000003fe
2022-04-02 17:32:03.220204 False [  158246.381349] 0003 0035 00000545
2022-04-02 17:32:03.220204 False [  158246.381349] 0003 0036 00000400
2022-04-02 17:32:03.231229 False [  158246.389756] 0003 0035 00000546
2022-04-02 17:32:03.231229 False [  158246.389756] 0003 0036 00000403
