Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.901435743010982 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 16:55:00.334117 False [  156023.529605] 0003 0036 000003d3
2022-04-02 16:55:00.344302 False [  156023.537754] 0003 0035 0000052c
2022-04-02 16:55:00.344302 False [  156023.537754] 0003 0036 000003cc
2022-04-02 16:55:00.352633 False [  156023.546181] 0003 0035 0000052d
2022-04-02 16:55:00.352633 False [  156023.546181] 0003 0036 000003c8
2022-04-02 16:55:00.360139 False [  156023.554391] 0003 0035 0000052e
2022-04-02 16:55:00.360139 False [  156023.554391] 0003 0036 000003c7
2022-04-02 16:55:00.368170 False [  156023.562868] 0003 0036 000003c4
2022-04-02 16:55:00.377818 False [  156023.570963] 0003 0035 00000523
2022-04-02 16:55:00.377818 False [  156023.570963] 0003 0036 000003ba
2022-04-02 16:55:00.387612 False [  156023.579458] 0003 0035 00000529
2022-04-02 16:55:00.387612 False [  156023.579458] 0003 0036 000003b5
2022-04-02 16:55:00.393880 False [  156023.587569] 0003 0036 000003b0
2022-04-02 16:55:00.402403 False [  156023.596001] 0003 0036 000003ae
2022-04-02 16:55:00.410168 False [  156023.604382] 0003 0035 0000052a
2022-04-02 16:55:00.410168 False [  156023.604382] 0003 0036 000003ac
2022-04-02 16:55:00.434472 False [  156023.629305] 0003 0035 0000052b
2022-04-02 16:55:00.434472 False [  156023.629305] 0003 0036 000003b0
2022-04-02 16:55:00.443861 False [  156023.637426] 0003 0035 0000052c
2022-04-02 16:55:00.443861 False [  156023.637426] 0003 0036 000003b3
2022-04-02 16:55:00.451272 False [  156023.645869] 0003 0035 0000052b
2022-04-02 16:55:00.451272 False [  156023.645869] 0003 0036 000003b2
2022-04-02 16:55:00.468638 False [  156023.662574] 0003 0036 000003b1
2022-04-02 16:55:00.477272 False [  156023.670627] 0003 0035 0000052a
2022-04-02 16:55:00.477272 False [  156023.670627] 0003 0036 000003b0
2022-04-02 16:55:00.485296 False [  156023.679065] 0003 0036 000003af
2022-04-02 16:55:00.500461 False [  156023.695717] 0003 0035 00000524
2022-04-02 16:55:00.500461 False [  156023.695717] 0003 0036 000003aa
2022-04-02 16:55:00.510199 False [  156023.703864] 0003 0035 00000525
2022-04-02 16:55:00.510199 False [  156023.703864] 0003 0036 000003ac
2022-04-02 16:55:00.516846 False [  156023.712316] 0003 0036 000003ae
2022-04-02 16:55:00.526814 False [  156023.720762] 0003 0036 000003af
2022-04-02 16:55:00.533605 False [  156023.728914] 0003 0036 000003b0
2022-04-02 16:55:00.543536 False [  156023.737106] 0003 0035 00000524
2022-04-02 16:55:00.551247 False [  156023.745559] 0003 0036 000003b1
